Título De La Obra;A.K.A;Estilo;Técnica;Zona Mab;Lugar De Intervención;URL Imagen;Descripción;
Tunjo;Hanimal;Ilustración;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/03_KR7_MARATON_WEB_PRODUCCION_4_DAVID_PATARROYO.jpeg;;
Neas;Neas;Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 3;Calle 26 Con Carrera 14 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/03_KR7_MARATON_WEB_PRODUCCION_18_ALEJANDRO_LOZANO%20Large.jpeg;;
La Rana Muisca;Carolina;Muralismo E Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 13;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_17_VICTOR_CALIXTO%20Large.jpeg;;
Vista General;Varios Artistas;;;Calle 80 - Maratón Costado Sur;Corredor - Calle 80 - Costado Sur;https://idartesencasa.gov.co/sites/default/files/2023-12/05_CLL80%20_%20CS_CAT_FOTO_ALTA%20_%20DIEGO_ANDRADE%20.jpeg;;
Sin Título;Parra - Dose - Lia - Antor;Realismo - Writing - Ilustracion - Writing;Aerosol - Vinilo - Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/14_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Coexistencia Pacífica;Guarapo;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental Centro;https://idartesencasa.gov.co/sites/default/files/2023-09/17_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Sembradora De Agua;Jankbz;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/14_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Los Astros Anuncian;Dypstyle;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/44_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Kaoz;Dream2;Ilustración / Mural;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/17_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Centinela;Gris One;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/3_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Mi Inspiración;Alma;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/35_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Sin Título;Micromomentos;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/34_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Hefumo;Hef;Writing;Vinilo;Calle 26 - Punto 2;;https://idartesencasa.gov.co/sites/default/files/2023-10/03_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
La Nave Va;Na;Muralismo;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/36_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Resistencia Salvaje;Saint Cat;Ilustración;Aerosol;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/09_CAT_P3_HELLSAINTCAT_VICTOR_CALIXTO.jpg;;
El Arte De Leer (Sección Superior) / Turquesa (Sección Inferior);Arde/Odink;Caracter / Writing;Aerosol;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7 -  Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_6_DIEGO_ANDRADE%20Large.jpeg;;
Adios Portugues;Deus;Ilustración;Aerosol;Carrera 7 - Tramo 4;Calle 26 Con Carrera 10 - Costado Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/04_KR7_MARATON_WEB_PRODUCCION_15_JOHN_ACHIARDI%20Large.jpeg;;
Bogota Es De Todxs;Sue Art;Stencil;Vinilo Y Aerosol;Carrera 7 - Tramo 5;Calle 26 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/05_KR7_MARATON_WEB_PRODUCCION_7_GARETH_SELLA%20Large%20Large.jpg;;
Hip Hop - Conocimiento;Woobs;;Aerosol Y Vinilo;Calle 80 - Beca Hap Pequeño Formato;Lobby Edificio Idartes;https://idartesencasa.gov.co/sites/default/files/2023-09/05_CLL80_BECA_HAP_PEQUEN%CC%83O_FORMATO_FOTO_DIEGO_ANDRADE_BAJA.jpg;;
Mutantes Orgánicos;Margo;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Avenida Calle 86 No. 78-20 Costado Sur Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/28_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Oráculo;Bruja;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Carrera 86 - Diagonal 82 Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/27_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Dualidad;Nerak;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13  Con Calle 48 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/02_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE_0.jpg;;
Los Astros Anuncian - Yoda;Bean;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/59_KRA13_P2_CATALOGO_FOTO_BAJA_GARETH_SELLA.jpg;;
Fuego Y Cenizas;Varios;Varios;Varias Técnicas;Carrera 14 - Punto 1 - Tramo 4;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/T4-01_KR14_P1_CAT_PANO_FOTO_BAJA_CRISTHIAN_PEREZ.JPG;;
Circo;Jhon Ruiz;;Aerosol Y Vinilo;Calle 26 - Punto 1 - Tercera Maraton;Calle 26 Con Carrera 3 - Muro 2;https://idartesencasa.gov.co/sites/default/files/2023-10/2_CLL26_CAT_P8_CIRCO_JHON_RUIZ_FOTO_A_DAVID_PATARROYO.jpg;;
Patineta;Nichess;Ilustración / Lettering;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/28_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Sol Y Luna;Cota;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/14_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Sin Título;Ratoncio;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/11_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
No Comic De Nada;Dose;Writing;Aerosol;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/10_CLL26_P1_C_NO_COMIC_DE_NADA_DOSE_DAVID_PATARROYO.jpg;;
Imparables;Mamarrachos;Ilustración;Vinilo;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/14%20_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Strucker;Retos;Writing E Ilustración;Aerosol Y Vinilo;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/4_PUNTO_3_FOTOS_CATALOGO_BAJA_OSCAR_MARTINEZ.jpg;;
Lloviendo Y Haciendo Sol;Beek;Writing;Aerosol;Calle 26 - Punto 4;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/04_CLL26_P4_CAT_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
Teatro Iberoamericano;Plom;Graffiti Y Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_3_DAVID_PATARROYO.jpeg;;
Kuyen / Mundo Mulfredov / Homenaje;Chulo / Smot / Cloud;Caracter / Writing;Vinilo Y Aerosol;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7 - Costado Occidental Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_13_DIEGO_ANDRADE%20Large.jpeg;;
Dama De Los Humedales;Chanchi;Muralismo E Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 10 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/03_KR7_MARATON_WEB_PRODUCCION_16_VICTOR_CALIXTO%20Large.jpeg;;
Color Gamin;Gamin Swoker;Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 27 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_9_GARETH_SELLA%20Large.jpeg;;
Sin Título;Latir;Pintura / Mural;Mixta;Calle 26 - Festival Periferia;Calle 26;https://idartesencasa.gov.co/sites/default/files/2023-12/3_CLL26_FAU_PERIFERIA_ENTREGAS_FOTO_BAJA_DAVID_PATARROYO.JPG;;
Sin Título;Pana - Skore - Denz - Rise - Algo;Ilustración - Writing - Writing - Writing 3D - Writing;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/04_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Ajile;Arteaga;Muralismo;Vinilo / Aerosol;Carrera 7 - Salsa Al Parque Y Joropo Al Parque;Carrera 7;https://idartesencasa.gov.co/sites/default/files/2024-01/10%20_KR7_FEST_AL_PARQUE_CAT_BAJA_OSCAR_MARTINEZ.jpg;;
Las Rockers;Mugre, Cabra, Skore;Mural Ilustrado;Aerosol / Vinilo;Carrera 14 - Beca Rock Al Parque;Teusaquillo - Calle 57 - Av Caracas - Manuela Beltran;https://idartesencasa.gov.co/sites/default/files/2023-11/CRISTHIAN_PEREZ-2.JPG;;
Taller De Altares Andinos;;;;Carrera 7 - Carnaval La Chica;Casa Carnaval La Chica Calle 62 No. 9A - 28;https://idartesencasa.gov.co/sites/default/files/2024-05/01_KR7_LA_CHICA_CAT_FOTO_BAJA_OSCAR_MARTINEZ.jpg;;
Bogotá Sinestésica;Malegria;Ilustración;Aerosol / Vinilo;Carrera 13 - Beca Jazz Al Parque;Calle 17 Con Carrera 13;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR13_FJP_CAT_MALEGRIA_FOTO_ALTA_JORGE%20RAVELO%20_.jpg;;
Sin Título;Dress;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/01_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI.jpg;;
Ancentros;Chambon;;Muralismo;Carrera 13 - Festival Arte Al Piso;Carrera 13;https://idartesencasa.gov.co/sites/default/files/2024-01/01_KR13_FAU_ARTE_AL_PISO_ENTREGAS_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
Bulkar;Bulkar;Stencil;Aerosol / Vinilo;Carrera 10 - Festival Urbano Coloquio Stencilero;Carrera 10 No. 10 - 36;https://idartesencasa.gov.co/sites/default/files/2023-10/06_COLOQUIO_STENCILERO_ENTREGA_FOTO_BAJA_VICTOR_CALIXTO.jpg;;
Bogotá Reptil;Cos;Mural;Aerosol / Vinilo;Carrera 13 - Punto 1;Carrera 13 No. 65 - 74;https://idartesencasa.gov.co/sites/default/files/2023-10/16_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Unido;Kaber;Writing;Aerosol / Vinilo;Carrera 10 - Festival Urbano Pura Escritura;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/13_PURA_ESCRITURA_ENTREGA_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Sin Título;Murt;Mural;Aerosol;Carrera 13 - Punto 3;Carrera 13 No. 20 -54;https://idartesencasa.gov.co/sites/default/files/2023-10/01_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Homenaje;Geral;Ilustración;Aerosol;Carrera 10 - Punto 2;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/19_CALL26_P2_CAT_FOTO_BAJA_VICTOR_CALIXTO.jpg;;
Nuevo Mundo;Metro;Ilustración;Aerosol / Vinilo;Carrera 14 - Punto 1 - Tramo 3;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/32_KR14_P1_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Las Rockers;Mugre, Cabra, Skore;Mural Ilustrado;Aerosol / Vinilo;Carrera 14 - Beca Rock Al Parque;Teusaquillo - Calle 57 - Av Caracas - Manuela Beltran;https://idartesencasa.gov.co/sites/default/files/2023-11/CRISTHIAN_PEREZ-21.JPG;;
Taller De Fermentos La Sagrada Borrachera;;;;Carrera 7 - Carnaval La Chica;Mercado Lourdes - Calle 64 No. 8 - 34;https://idartesencasa.gov.co/sites/default/files/2024-05/02_KR7_22_SEPT_LA_CHICA_FOTO_BAJA_OSCAR_MARTINEZ.jpg;;
Nuevo Mundo;Woe;Writing / 3D;Aerosol / Vinilo;Carrera 14 - Punto 1 - Tramo 3;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/33_KR14_P1_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Bogotá Sinestésica;Malegria;Ilustración;Aerosol / Vinilo;Carrera 13 - Beca Jazz Al Parque;Calle 17 Con Carrera 13;https://idartesencasa.gov.co/sites/default/files/2023-11/03_KR13_FJP_CAT_MALEGRIA_FOTO_ALTA_JORGE%20RAVELO%20_.jpg;;
Sin Título;Ortiga;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/02_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI.jpg;;
Rito;Zavo;Ilustración;Aerosol;Carrera 13 - Punto 3;Carrera 13 No. 19  - 01;https://idartesencasa.gov.co/sites/default/files/2023-10/71_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Nervioso Y Pixel;Nervioso Y Pixel;Stencil;Aerosol / Vinilo;Carrera 10 - Festival Urbano Coloquio Stencilero;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/18_COLOQUIO_STENCILERO_ENTREGA_FOTO_BAJA_VICTOR_CALIXTO.jpg;;
Unido;Sywek;Writing;Aerosol / Vinilo;Carrera 10 - Festival Urbano Pura Escritura;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/01_PURA_ESCRITURA_ENTREGA_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Jaguar;Suseth;Ilustración;Aerosol / Vinilo;Carrera 13 - Punto 1;Carrera 13 No. 65 - 70;https://idartesencasa.gov.co/sites/default/files/2023-10/17_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Un Canto De Colores;Edwin Solano Marquez;;Muralismo;Carrera 13 - Festival Arte Al Piso;Carrera 13;https://idartesencasa.gov.co/sites/default/files/2024-01/04_05_KR13_FAU_ARTE_AL_PISO_ENTREGAS_FOTO_BAJA_DAVID_PATARROYO.JPG;;
Familia;Ceteo;Ilustración;Aerosol / Vinilo;Carrera 10 - Punto 2;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/20_CALL26_P2_CAT_FOTO_BAJA_VICTOR_CALIXTO.jpg;;
Sin Título;Vsk Crew;;;Carrera 13 - Vii Festival Paseo Del Color;Carrera 13 Entre Calles 59 Y 60;https://idartesencasa.gov.co/sites/default/files/2024-05/03_KR13_FAU_PASEO_DEL_COLOR_ENTREGAS_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
Cortejo;Asteroide;Writing / Ilustración;Aerosol / Vinilo;Carrera 10 - Punto 2;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/10_CALL26_P2_CAT_FOTO_BAJA_VICTOR_CALIXTO.jpg;;
Taller De Excavación Arqueológica. Huerta Alison;;;;Carrera 7 - Carnaval La Chica;Parque De Los Hippies - Calle 60 Carrera 7;https://idartesencasa.gov.co/sites/default/files/2024-05/03%20_KR7_LA_CHICA_CAT_FOTO_BAJA_OSCAR_MARTINEZ.jpg;;
Nuevo Mundo;Weks;Writing / Wild Style;Aerosol / Vinilo;Carrera 14 - Punto 1 - Tramo 3;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/34_KR14_P1_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Unido;Skum;Writing;Aerosol / Vinilo;Carrera 10 - Festival Urbano Pura Escritura;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/09_PURA_ESCRITURA_ENTREGA_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Sin Título;Orum;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/03_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI.jpg;;
Mosku;Mosku;Stencil;Aerosol / Vinilo;Carrera 10 - Festival Urbano Coloquio Stencilero;Carrera 10 No 8A - 38;https://idartesencasa.gov.co/sites/default/files/2023-10/05_COLOQUIO_STENCILERO_ENTREGA_FOTO_BAJA_VICTOR_CALIXTO.jpg;;
Sin Título;Nada Vac, Haley;Ilustración;Aerosol / Vinilo;Carrera 13 - Punto 3;Carrera 13 Entre Calles 18 Y 20;https://idartesencasa.gov.co/sites/default/files/2024-05/03_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Implacable;Zavo, Mekor, Lukaz;Mural Ilustrado;Aerosol / Vinilo;Carrera 14 - Beca Rock Al Parque;Chapinero - Calle 62 Av Caracas - Costado Oriental;https://idartesencasa.gov.co/sites/default/files/2023-11/CRISTHIAN_PEREZ.JPG;;
Amazonía;Maker;;Muralismo;Carrera 13 - Festival Arte Al Piso;Caarrera 13;https://idartesencasa.gov.co/sites/default/files/2024-01/02_KR13_FAU_ARTE_AL_PISO_ENTREGAS_FOTO_BAJA_DAVID_PATARROYO.JPG;;
El Señor Frijol Y La Big Band;Franco_De_Colombia;Ilustración;Aerosol / Vinilo;Carrera 13 - Beca Jazz Al Parque;Calle 14 # 12 - 50 - Frente Universidad Asab;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR13_JAP_CAT_FRANCO_DC_FOTO_ALTA_JORGE_RAVELO%20%281%29.jpg;;
Salvaje;Raw;Mural;Aerosol / Vinilo;Carrera 13 - Punto 1;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/18_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Rana Amarilla Común;Adro;Mural;Aerosol;Carrera 13 - Punto 1;Carrera 13 No. 65 - 60;https://idartesencasa.gov.co/sites/default/files/2023-10/19_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Sin Título;Ghetto Wild;;;Carrera 13 - Vii Festival Paseo Del Color;Carrera 13 Entre Calles 59 Y 60;https://idartesencasa.gov.co/sites/default/files/2024-05/04_KR13_FAU_PASEO_DEL_COLOR_ENTREGAS_FOTO_BAJA_DAVID_PATARROYO.JPG;;
Vida Cíclica;Denzo;Ilustración / Mural;Aerosol / Vinilo;Carrera 10 - Punto 2;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/11_CALL26_P2_CAT_FOTO_BAJA_VICTOR_CALIXTO.jpg;;
El Pola;Resko;Writing;Aerosol / Vinilo;Carrera 10 - Festival Urbano Pura Escritura;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/06_PURA_ESCRITURA_ENTREGA_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Taller De Vestuario, Máscaras Y Bastones Para La Comparsa La Chica;;;;Carrera 7 - Carnaval La Chica;Casa Carnaval La Chica Calle 62 No. 9A  - 28;https://idartesencasa.gov.co/sites/default/files/2024-05/04%20_KR7_LA_CHICA_CAT_FOTO_BAJA_OSCAR_MARTINEZ.jpg;;
Nuevo Mundo;Falkon;Writing / Wild Style;Aerosol / Vinilo;Carrera 14 - Punto 1 - Tramo 3;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/35_KR14_P1_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Implacable;Zavo, Mekor, Lukaz;Mural Ilustrado;Aerosol / Vinilo;Carrera 14 - Beca Rock Al Parque;Chapinero - Calle 62 Av Caracas - Costado Oriental;https://idartesencasa.gov.co/sites/default/files/2023-11/CRISTHIAN_PEREZ-5.JPG;;
Sin Título;Raiz;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/04_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI.jpg;;
Sin Título;Zavo;Vinilo Y Aerosol;Aerosol / Vinilo;Carrera 13 - Punto 3;Carrera 13 Entre Calles 18 Y 20;https://idartesencasa.gov.co/sites/default/files/2024-05/04_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
El Señor Frijol Y La Big Band;Franco_De_Colombia;Ilustración;Aerosol / Vinilo;Carrera 13 - Beca Jazz Al Parque;Calle 14 # 12 - 50 - Frente Universidad Asab;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR13_JAP_CAT_FRANCO_DC_FOTO_ALTA_JORGE_RAVELO.jpg;;
Clmelm;Clmelm;Stencil;Aerosol / Vinilo;Carrera 10 - Festival Urbano Coloquio Stencilero;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/08_COLOQUIO_STENCILERO_ENTREGA_FOTO_BAJA_VICTOR_CALIXTO.jpg;;
Canto De La Tierra;Carlos Alberto García;;Street Painting 3D;Carrera 13 - Festival Arte Al Piso;Carrera 13;https://idartesencasa.gov.co/sites/default/files/2024-01/06_KR13_FAU_ARTE_AL_PISO_ENTREGAS_FOTO_BAJA_DAVID_PATARROYO.JPG;;
Lucky Rabbit;Lucky Rabbit;Stencil;Aerosol / Vinilo;Carrera 10 - Festival Urbano Coloquio Stencilero;Carrera 10 No. 13 - 49;https://idartesencasa.gov.co/sites/default/files/2023-10/10_COLOQUIO_STENCILERO_ENTREGA_FOTO_BAJA_VICTOR_CALIXTO.jpg;;
Sin Título;Eggo;;;Carrera 13 - Vii Festival Paseo Del Color;Carrera 13 Entre Calles 59 Y 60;https://idartesencasa.gov.co/sites/default/files/2024-05/05_KR13_FAU_PASEO_DEL_COLOR_ENTREGAS_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
Gueto / Judío Errante;Mekor, Mordaz;Writing;Aerosol / Vinilo;Carrera 10 - Punto 2;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/12_CALL26_P2_CAT_FOTO_BAJA_VICTOR_CALIXTO.jpg;;
Remanecentes;Dicesarlove;;Muralismo;Carrera 13 - Festival Arte Al Piso;Carrera 13;https://idartesencasa.gov.co/sites/default/files/2024-01/09_KR13_FAU_ARTE_AL_PISO_ENTREGAS_FOTO_BAJA_DAVID_PATARROYO.JPG;;
Lucha;Dipstyle;Writing;Aerosol / Vinilo;Carrera 10 - Festival Urbano Pura Escritura;Carrera 10, Calle 2;https://idartesencasa.gov.co/sites/default/files/2023-10/19_PURA_ESCRITURA_ENTREGA_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Implacable;Zavo, Mekor, Lukaz;Mural Ilustrado.;Aerosol / Vinilo;Carrera 14 - Beca Rock Al Parque;Chapinero - Calle 62 Av Caracas - Costado Oriental;https://idartesencasa.gov.co/sites/default/files/2023-11/CRISTHIAN_PEREZ-4.JPG;;
Taller De Vestuario, Máscaras Y Bastones Para La Comparsa La Chica;;;;Carrera 7 - Carnaval La Chica;Casa Carnaval La Chica Calle 62 No. 9A  - 28;https://idartesencasa.gov.co/sites/default/files/2024-05/05%20_KR7_LA_CHICA_CAT_FOTO_BAJA_OSCAR_MARTINEZ.jpg;;
Condor De Los Andes;Metro;Writing;Aerosol;Carrera 13 - Punto 1;Carrera 13 No. 65 - 01;https://idartesencasa.gov.co/sites/default/files/2023-10/23_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Escencia De Barrio;Ribh One;Writing;Aerosol;Carrera 13 - Punto 3;Carrera 13 No. 19 - 70;https://idartesencasa.gov.co/sites/default/files/2023-10/11_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Nuevo Mundo;Lash;Writing / Wild Style;Aerosol / Vinilo;Carrera 14 - Punto 1 - Tramo 3;Carrera 14 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/36_KR14_P1_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Sin Título;Garzón;;;Carrera 7 - Galería Santa Fest 3.0;Carrera 7 Entre Calles 18 Y 24;https://idartesencasa.gov.co/sites/default/files/2024-05/05_KR7_AGT_30_BOGOTARROS_FOTO_BAJA_ENT_JOHN_ACHIARDI.jpg;;
Tenemos El Jazz;Robs_Oner;Mural;Aerosol / Vinilo;Carrera 13 - Beca Jazz Al Parque;Calle 22 No. 12 - 38;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR13_FJP_A.K.A_ROBS_ONER_FOTO_ALTA_JORGE_RAVELO.jpg;;
Antes Y Despues;Drelo;;Muralismo;Carrera 13 - Festival Arte Al Piso;Carrera 13;https://idartesencasa.gov.co/sites/default/files/2024-01/07_KR13_FAU_ARTE_AL_PISO_ENTREGAS_FOTO_BAJA_DAVID_PATARROYO.JPG;;
Raices Y Dulce De Antaño;Lil Dry / Joma;Ilustración;Aerosol;Carrera 13 - Punto 3;Carrera 13 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/54_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
