Título De La Obra;A.K.A;Estilo;Técnica;Zona Mab;Lugar De Intervención;URL Imagen;Descripción;
Naturaleza Y Libertad /Graffiti Precolombino /Bacata;Kan 3 /Chamitonoir/ Wallis;Ilustración, Graffiti Y Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 26 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_8_GARETH_SELLA%20Large.jpg;;
Sin Título;Ras;Ilustración;Aerosol;Calle 26 - Festival Periferia;Calle 26;https://idartesencasa.gov.co/sites/default/files/2023-12/1_CLL26_FAU_PERIFERIA_ENTREGAS_FOTO_BAJA_DAVID_PATARROYO.JPG;;
Sin Título;Riso, Fode, Ras, Cam , Sohe;Writing Wild Style - Writing And Character - Writing Y Character - Writing;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/01_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Unos Pocos Buenos Amigos;Mrz;Muralismo;Vinilo / Aerosol;Carrera 7 - Salsa Al Parque Y Joropo Al Parque;Carrera 7;https://idartesencasa.gov.co/sites/default/files/2024-01/7%20_KR7_FEST_AL_PARQUE_CAT_BAJA_JHON_ACHIARDI.jpg;;
La Bachué;Verde Laguna;Ilustración;Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental;https://idartesencasa.gov.co/sites/default/files/2023-09/04_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Acuakarmica;Laurel.Gfk;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/01_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Art-Táctica;Chilli;Muralismo;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/19_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Art-Táctica;Monte;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/69_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Adios Portugues;Deus;Writing / Lettering;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/4_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Resiste;Lana;Ilustración / Lettering;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/39_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Happy Birday;Leom2Oe;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/22_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
